"Q1.Likert.scale","Sheet","Column","Column_Num","Q2.Likert.scale","Q3.Likert.scale","Q4.Likert.scale","Q5.Likert.scale","Q6.Likert.scale","Q7.Likert.scale","Q8.Likert.scale","Q9.Likert.scale"
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
4,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
5,"DARWIN_DEEPSEEK_LTM","Q1.Likert.scale",3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DARWIN_DEEPSEEK_LTM","Q2.Likert.scale",7,4,NA,NA,NA,NA,NA,NA,NA
NA,"DARWIN_DEEPSEEK_LTM","Q2.Likert.scale",7,4,NA,NA,NA,NA,NA,NA,NA
